label	status	color	section	sectionColor	workflow	modules	declarations
cor:action-metrization	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Composite	module-comment;actionEDistance;actionEDistance_add_add;actionEDistance_cancel_cancel;actionEDistance_modify_modify;actionEDistance_eq_top_of_kind_ne;kind_eq_of_actionEDistance_lt_top;instEDist;instPseudoEMetricSpace;instEMetricSpace;edist_eq_top_of_kind_ne;kind_eq_of_edist_lt_top;cauchySeq_eventually_constant_kind;addPayloadD;cancelPayloadD;modifyPayloadD;completeSpace;separableSpace;compositeAction_completeSpace
cor:bijective-weak-linear-transport-hilbert-structure	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	bijective_weakLinear_transport_hilbert_structure
cor:cancel-closure-sorted	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Primitive	module-comment;reindex_isSorted;cancel_isSorted;sortedCancel_eq_cancel;sortedCancel_eq_cancelSubtype
cor:filter	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Selection	module-comment;measurable_filter_emetricBorel
cor:grothendieck-vectorization-inner-product-space	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	grothendieckVectorizationInner;grothendieckVectorizationInnerCore;grothendieckVectorization_normedAddCommGroup;grothendieckVectorization_innerProductSpace;grothendieckVectorizationLinearIsometryEquivSpan;grothendieck_vectorization_innerProductSpace_and_isometry;CompletedGrothendieckVectorization;CompletedGrothendieckSpan;linearIsometryEquiv_toUniformEquiv;grothendieckCompletionUniformEquivSpanCompletion;grothendieckCompletionLinearIsometryEquivSpanCompletion;grothendieck_completion_targets_completedSpan;grothendieckCompletionToSpanCompletion_isometry;completedGrothendieckVectorization_complete;completedGrothendieckSpan_complete;weakConvexKernelZero;weakConvexKernelImage_zero;grothendieckConeEmbedding;grothendieckVectorizationEquivSpan_coneEmbedding;grothendieckVectorizationCone;grothendieckVectorizationCone_convexCone;completedGrothendieckEmbeddedCone;completedGrothendieckCone;completedGrothendieckCone_isClosed;completedGrothendieckEmbeddedCone_convexCone;completedGrothendieckCone_convexCone;completedGrothendieckCone_nonempty;completedGrothendieckCone_metricProjection_existsUnique
cor:local-continuity-sorting	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesMeasurableSorting	sortingValidTopology;sortedTupleTopology;sortingValidMap;continuous_sortingValidMap
cor:many-measurable-sorting-exists	commentary	#6e7781	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesMeasurableSorting	module-comment
cor:measurable-index-filter-for-countable-borel-family	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Selection	setCharacteristicBool;borelIndexSet;measurable_borelIndexSet_emetricBorel
cor:measures-coincide	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PointProcesses;Foundations.Stochastic.TupleMeasures	module-comment;atomicDecomposition_totalMultiplicity_eq_of_prokhorovEDistance_lt_one;tupleMeasures_totalMultiplicity_eq_of_prokhorovEDistance_lt_one
cor:sorted-operations-measurable	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Analytic	module-comment;emetricTopology;emetricBorel;IsMeasurableSortingRule;measurable_concat_emetricBorel;measurable_cancel_emetricBorel;measurable_modify_emetricBorel;measurable_sortedAdd_emetricBorel;measurable_sortedCancel_emetricBorel;measurable_sortedModify_emetricBorel
cor:strict-disjoint-total-order	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	module-comment;LexLT;lexLT_isStrictTotalOrder
cor:tuple-induced-measure-permutation-invariant	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.TupleMeasures	tupleInducedIntegerMeasure_permute;tupleInducedIntegerMeasure_eq_of_permutativeEquality
cor:tuple-metrization	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesMetricTopology	module-comment;tupleSupEMetricSpace;tupleSupEDistance;tupleSup_edist_same;tupleSup_edist_ne_length;tupleHausdorff_min_one_eq_tupleSup_min_one;tupleHausdorff_lt_one_iff_tupleSup_lt_one;tupleSup_completeSpace;tupleSup_separableSpace
cor:unique-and-idempotent-sort	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesSorting	list_finRange_perm_equiv;list_ofFn_perm_comp_equiv;isSorted_pairwise_ofFn;sortedPermutations_eq_of_linearOrder;sortingRule_sort_unique_of_linearOrder;sortingRule_idempotent_of_linearOrder;sortingRule_sort_eq_self_of_isSorted
cor:weak-convex-transport-convex-cone-structure	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	WeakConvexKernelSpace;weakConvexKernelSpaceEquivRange;weakConvexKernelAdd;weakConvexKernelNonnegativeScalarMultiplication;weakConvexKernel_transportedCone_combination_image;weakConvex_transport_convexCone_operations;weakConvex_transport_convexCone_structure
defn:Hausdorff-distance	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	hausdorffDistance;hausdorffEDistance;hausdorffEDistance_self;hausdorffEDistance_comm;hausdorffEDistance_triangle
defn:actions	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Composite	module-comment;ActionKind;MarketAction;kind;applyAction;applyAction_add;applyAction_cancel;applyAction_modify
defn:cancel	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Primitive	module-comment;finiteSubsetDiff;cancel;cancel_length
defn:completed-kernel-space	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	CompletedKernelSpace;completedKernelSpace_complete
defn:concat-tuple	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Primitive	module-comment;concat;concat_length;concat_left;concat_right
defn:connectivity-relation	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesSorting	IndexConnected
defn:convex-cone	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	ConvexCone
defn:disjoint-union	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	module-comment;DisjointUnion;SetDisjointUnion
defn:disjoint-union-metrization	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnionTopology	module-comment;disjointEdist;edist_eq_top_of_tag_ne;metricTopology_isOpen_iff;metricTopology_eq_sigma
defn:distinct-finite-sets	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	index;value;HasDistinctIndices;DistinctFiniteSubsets;value_eq_of_same_index
defn:finite-permutations	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesBasic	FinitePermutation;FinitePermutations
defn:function-kernel-quotient-space	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	FunctionKernelQuotient;functionKernelClass
defn:functional-and-operator	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	Functional;Operator
defn:index-comparable	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesSorting	IndexComparable;indexComparable_refl;indexComparable_symm
defn:inner-product-kernel-space	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	InnerProductKernelSpace;innerProductKernelInner;innerProductKernelInner_class
defn:isolative	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	Isolative
